country,prior_volume_quartile,admissions,hospitals,median_prior_year_volume,age_median,age_70plus_pct,male_pct,structural_phenotype_pct,unspecified_phenotype_pct,subdural_pct,mortality_pct,los_median,icu_any_pct,primary_acute_surgery_pct
brasil,Q1,166357,2259,29.0,48.0,19.975714878243778,74.56794724598304,26.827245021249478,59.77746653281798,9.905203868788208,6.802238559243073,3.0,16.607657026755714,3.1552624776835363
brasil,Q2,166602,308,136.0,50.0,21.112591685574003,78.12151114632478,41.38785848909377,53.40932281725309,19.61140922677999,12.478841790614759,4.0,28.31658683569225,7.34504987935319
brasil,Q3,165941,125,314.0,48.0,19.87212322451956,78.85031426832428,45.283564640444496,50.73068138675795,19.979390265214743,13.198666996101025,4.0,24.17787044793029,8.479519829336933
brasil,Q4,166566,38,889.0,44.0,16.341270127156804,79.83862252800692,45.16768127949282,50.56794303759471,13.75971086536268,12.174753551144892,4.0,18.198792070410526,5.217151159300217
mexico,Q1,40567,844,13.0,47.0,22.03268666650233,72.92627012103435,24.850247738309463,74.16619419725392,12.94894865284591,7.0998915294349665,3.0,,
mexico,Q2,41032,284,46.0,44.0,18.763404172353283,77.19341002144667,28.082959641255606,71.30775979723143,14.88350555663872,10.926377376889322,4.0,,
mexico,Q3,40825,100,119.0,43.0,16.622167789344765,79.69136558481323,33.30557256582976,66.51316595223516,17.47948560930802,12.08252676974345,4.0,,
mexico,Q4,40923,20,425.0,48.0,21.843462111770886,79.01913349461184,35.161156317963005,64.68978325147228,23.458690711824644,14.583486059184322,5.0,,
