country,year,admissions,age_70plus_n,age_70plus_share_pct,age_80plus_n,age_80plus_share_pct,mortality_70plus_pct,mortality_under70_pct
brasil,2015,82276,13461,16.360785648305704,5839,7.096844766396034,17.04182453012406,9.590932209547336
brasil,2016,82953,13740,16.563596253300062,6150,7.41383675093125,18.151382823871906,10.044355829107248
brasil,2017,82253,14408,17.516686321471557,6510,7.914604938421698,17.379233759022767,9.673520524725477
brasil,2018,81267,14892,18.32478127653291,6773,8.334256217160716,17.04942250872952,9.862146892655367
brasil,2019,82193,16027,19.499227428126485,7286,8.864501843222659,16.815374056280028,9.51999516367923
brasil,2020,80202,15097,18.823720106730505,6857,8.549662103189446,17.427303437769094,10.022271714922049
brasil,2021,81356,15838,19.467525443728796,7171,8.814346821377649,17.74213915898472,10.207881803473855
brasil,2022,88696,19041,21.46770993054929,8553,9.64305041941012,16.102095478178665,9.3589835618405
brasil,2023,93478,20890,22.347504225593187,9735,10.414215109437515,15.49545236955481,8.986333829283078
chile,2015,6601,1577,23.8903196485381,729,11.043781245265869,12.175015852885226,5.573248407643312
chile,2016,6372,1668,26.17702448210923,791,12.41368487131199,11.57074340527578,5.5059523809523805
chile,2017,6112,1700,27.81413612565445,819,13.399869109947643,12.23529411764706,5.57570262919311
chile,2018,5863,1747,29.797032236056626,879,14.992324748422309,11.3909559244419,5.928085519922255
chile,2019,5914,1809,30.58843422387555,917,15.505579979709164,11.885019347705915,6.041412911084044
chile,2020,5008,1449,28.933706070287542,708,14.13738019169329,13.871635610766045,6.8277606069120536
chile,2021,4982,1478,29.666800481734246,762,15.295062224006422,13.870094722598106,8.704337899543379
chile,2022,5465,1853,33.90667886550778,969,17.731015553522415,12.628170534268754,8.028792912513842
chile,2023,5942,2088,35.13968360821272,1101,18.52911477616964,9.865900383141762,7.109496626881162
equador,2015,5587,1251,22.391265437623055,626,11.204582065509218,10.471622701838529,5.189114391143911
equador,2016,5585,1203,21.539838854073412,635,11.369740376007162,12.718204488778055,5.659516202647193
equador,2017,5391,1226,22.74160638100538,640,11.871637915043591,12.153344208809136,6.506602641056422
equador,2018,5100,1218,23.88235294117647,649,12.725490196078432,10.098522167487685,6.543019062339001
equador,2019,5208,1242,23.847926267281107,659,12.653609831029186,11.03059581320451,5.471507816439738
equador,2020,4161,902,21.67748137466955,489,11.751982696467195,12.527716186252771,7.609696225836146
equador,2021,4325,936,21.641618497109828,481,11.121387283236995,10.363247863247864,7.465329005606374
equador,2022,5381,1063,19.754692436350123,525,9.756550826983831,10.536218250235184,6.993978693839741
equador,2023,6015,1145,19.035743973399832,580,9.642560266001663,10.56768558951965,6.6940451745379885
mexico,2015,21011,4476,21.303126933511017,2040,9.709199942887059,16.446927374301676,9.737941051867093
mexico,2016,22046,4649,21.087725664519642,2137,9.69336841150322,14.824391294979531,10.18870095501093
mexico,2017,21616,4493,20.78552923760178,2026,9.372686898593633,16.22523926107278,9.739994157172072
mexico,2018,21466,4452,20.73977452715923,2005,9.340352184850461,13.948787061994608,8.833901492888211
mexico,2019,21832,4597,21.056247709783804,2099,9.614327592524734,12.834457254731346,9.39947780678851
mexico,2020,15912,2774,17.433383609854197,1193,7.497486173956762,15.753424657534246,10.701781093012636
mexico,2021,18832,3379,17.942863211554798,1457,7.736830926083263,17.135247114530927,11.221122112211221
mexico,2022,22667,4295,18.94825076101822,1846,8.143997882384083,15.855646100116413,10.603091661223601
mexico,2023,22362,4422,19.77461765495036,1891,8.456309811287005,14.405246494798735,10.351170568561873
