country,year,admissions,deaths,mortality_pct,mortality_ci_low_pct,mortality_ci_high_pct,los_median
brasil,2015,82276,8894,10.809956731002966,10.599610782940227,11.023962201672814,4.0
brasil,2016,82953,9446,11.387171048666112,11.172786347809524,11.605131947479098,4.0
brasil,2017,82253,9067,11.023306140809455,10.811093897533954,11.239159002037626,4.0
brasil,2018,81267,9085,11.179199429042539,10.964380327383326,11.39768857975101,4.0
brasil,2019,82193,8994,10.942537685690995,10.730941397888872,11.15778479861744,4.0
brasil,2020,80202,9156,11.416174160245381,11.197929372520319,11.63811502851493,4.0
brasil,2021,81356,9498,11.674615271153941,11.45576181068405,11.897087981491552,4.0
brasil,2022,88696,9585,10.806575268332281,10.603948403046976,11.012597076781706,4.0
brasil,2023,93478,9760,10.440959370119172,10.246550630502218,10.63861943657956,4.0
chile,2015,6601,472,7.1504317527647325,6.553441059611383,7.79726797177553,4.0
chile,2016,6372,452,7.09353421217828,6.488709698606578,7.7500631090491225,5.0
chile,2017,6112,454,7.428010471204188,6.796998031422495,8.1125051839649,5.0
chile,2018,5863,443,7.555858775370971,6.906786368161158,8.260515915916192,5.0
chile,2019,5914,463,7.828880622252282,7.17129058055994,8.54122190034188,5.0
chile,2020,5008,444,8.865814696485623,8.109744320042564,9.684944163328502,5.0
chile,2021,4982,510,10.236852669610599,9.425500518419621,11.109479975144392,5.0
chile,2022,5465,524,9.588289112534309,8.835806893183486,10.397545925080625,5.0
chile,2023,5942,480,8.078088185796028,7.411995472971039,8.798352276622563,5.0
equador,2015,5587,356,6.371934848756041,5.7609516112776,7.042873844982865,4.0
equador,2016,5585,401,7.179946284691137,6.531914365627972,7.886844612976826,4.0
equador,2017,5391,420,7.790762381747356,7.104960758827033,8.536677357109495,4.0
equador,2018,5100,377,7.392156862745098,6.705688913126383,8.142765631387695,4.0
equador,2019,5208,354,6.797235023041475,6.144991244767873,7.51316751431644,5.0
equador,2020,4161,361,8.67579908675799,7.858187958223311,9.569644111068348,4.0
equador,2021,4325,350,8.092485549132949,7.316393889828843,8.942958265722423,4.0
equador,2022,5381,414,7.693737223564393,7.01148608796022,8.43635178344532,4.0
equador,2023,6015,447,7.43142144638404,6.79541027173242,8.121772463231066,4.0
mexico,2015,21011,2345,11.167730260024765,10.74878824251075,11.600878464812666,4.0
mexico,2016,22046,2459,11.165599600417744,10.756395696766628,11.588349361916684,4.0
mexico,2017,21616,2396,11.088485746019993,10.676720160462985,11.514084717544264,4.0
mexico,2018,21466,2124,9.894717227243081,9.502419233497784,10.301367302123419,4.0
mexico,2019,21832,2210,10.12275558812752,9.729631092466947,10.529911365470646,4.0
mexico,2020,15912,1843,11.5824534942182,11.094463141289243,12.08898950126533,4.0
mexico,2021,18832,2313,12.282285471537808,11.82115898223901,12.758797137162631,4.0
mexico,2022,22667,2629,11.598358847664006,11.187993209766438,12.021738889460085,4.0
mexico,2023,22362,2494,11.152848582416599,10.746915649651415,11.572126438172365,4.0
