country,volume_decile,hospital_year_units,admissions,median_volume,mortality_pct,mortality_ci_low_pct,mortality_ci_high_pct
brasil,D1,1754,1754,1.0,3.9338654503990877,3.1201946192599417,4.948882822074931
brasil,D10,1754,523099,199.0,12.625334783664277,12.535601744760076,12.715616772038743
brasil,D2,1748,1892,1.0,4.545454545454546,3.695394793071566,5.579726082005762
brasil,D3,1750,3670,2.0,3.4877384196185286,2.9411052360257277,4.13164389937521
brasil,D4,1748,5841,3.0,3.9376819037835986,3.4684223144804633,4.467491637404905
brasil,D5,1750,9194,5.0,3.7089406134435503,3.3415743712411716,4.1149750000809
brasil,D6,1748,15338,9.0,3.885773894901552,3.5912942204404885,4.203347591009318
brasil,D7,1747,26791,15.0,4.7254675077451385,4.47781273505229,4.986104379501581
brasil,D8,1751,50812,28.0,6.114697315594741,5.9096628867915255,6.326367068087743
brasil,D9,1747,116283,63.0,9.992002270323264,9.820950510952805,10.165697402270768
mexico,D1,708,708,1.0,6.497175141242938,4.9061213387401885,8.557772875927794
mexico,D10,707,106564,98.0,12.982637259502582,12.782151280265671,13.18579242266695
mexico,D2,705,1082,2.0,5.360443622920518,4.169391175009054,6.867356726342303
mexico,D3,701,2002,3.0,6.693306693306694,5.679441891540746,7.873053978521974
mexico,D4,705,3318,5.0,5.69620253164557,4.9575975736104345,6.537279244116215
mexico,D5,705,5266,7.0,5.870060790273556,5.266645076091427,6.537840465007608
mexico,D6,701,7933,11.0,6.6683474095550235,6.140067569068446,7.238574131428637
mexico,D7,704,12006,17.0,7.573737710381603,7.113844561539969,8.06078176369824
mexico,D8,702,18272,26.0,8.578310614769803,8.180855187848875,8.993184567386042
mexico,D9,704,30593,43.0,10.593968731602015,10.253926568294943,10.943912326913408
