analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,hospitals,between_sd_log_volume,within_sd_log_volume,fdr_q_value
Hybrid between-within hospital volume model: Brazil,key interpretive sensitivity,between_within_volume,between_volume_z,Adjusted OR per 1-SD increase,1.2549533396131034,1.1869186196567107,1.3268878409385705,1.3974721693024651e-15,663921,True,434002.6425522205,brasil,2078,1.3786317103876615,0.4880313727088088,5.5898886772098606e-15
Hybrid between-within hospital volume model: Brazil,key interpretive sensitivity,between_within_volume,within_volume_z,Adjusted OR per 1-SD increase,0.9606074012785559,0.9363371170009772,0.9855067823720349,0.002083057849378026,663921,True,434002.6425522205,brasil,2078,1.3786317103876615,0.4880313727088088,0.002777410465837368
Hybrid between-within hospital volume model: Mexico,key interpretive sensitivity,between_within_volume,between_volume_z,Adjusted OR per 1-SD increase,1.413463229204768,1.2820645378060933,1.5583289619201222,3.6232967838234587e-12,162904,True,108426.63595729021,mexico,842,1.1473611937236574,0.4673148479556277,7.2465935676469175e-12
Hybrid between-within hospital volume model: Mexico,key interpretive sensitivity,between_within_volume,within_volume_z,Adjusted OR per 1-SD increase,1.0295580400152722,0.9622338767218321,1.1015926412519321,0.3985412179514405,162904,True,108426.63595729021,mexico,842,1.1473611937236574,0.4673148479556277,0.3985412179514405
