country,year,standard_population,admissions,crude_mortality_pct,standardized_mortality_pct,standardized_ci_low_pct,standardized_ci_high_pct,risk_difference_vs_2019_pp,risk_difference_ci_low_pp,risk_difference_ci_high_pp,risk_ratio_vs_2019,risk_ratio_ci_low,risk_ratio_ci_high,model_n
brasil,2015,Country-specific 2019 age-sex-broad-phenotype distribution,82276,10.809956731002966,11.368556675879868,10.532412525413415,12.20470082634632,0.4260189901888631,-0.16256871822736968,1.014606698605096,1.0389323758734637,0.98577541460629,1.0949557735411517,754674
brasil,2016,Country-specific 2019 age-sex-broad-phenotype distribution,82953,11.387171048666112,11.742992271879706,10.810912089649069,12.675072454110342,0.8004545861887008,0.22455005849310342,1.376359113884298,1.0731507269319633,1.0212718321700742,1.1276649824635667,754674
brasil,2017,Country-specific 2019 age-sex-broad-phenotype distribution,82253,11.023306140809455,11.339763637681731,10.469793094911122,12.20973418045234,0.3972259519907262,-0.09385562105613697,0.8883075250375895,1.036301081467616,0.9920774502154219,1.0824960603809277,754674
brasil,2018,Country-specific 2019 age-sex-broad-phenotype distribution,81267,11.179199429042539,11.308000835000342,10.518659933923496,12.097341736077189,0.3654631493093377,-0.04721819854455588,0.7781444971632313,1.0333983907395845,0.9958152273342687,1.0723999841234535,754674
brasil,2019,Country-specific 2019 age-sex-broad-phenotype distribution,82193,10.942537685690995,10.942537685691004,10.175440342741494,11.709635028640514,0.0,0.0,0.0,1.0,1.0,1.0,754674
brasil,2020,Country-specific 2019 age-sex-broad-phenotype distribution,80202,11.416174160245381,11.442198706453752,10.721975890870683,12.162421522036821,0.49966102076274693,0.1272797478430963,0.8720422936823975,1.0456622618184928,1.0109280896485724,1.081589854894097,754674
brasil,2021,Country-specific 2019 age-sex-broad-phenotype distribution,81356,11.67461527115394,11.648011219485566,11.046305425876323,12.249717013094807,0.7054735337945608,0.20276607366016397,1.2081809939289578,1.0644707428987952,1.0166991736123432,1.114486951397436,754674
brasil,2022,Country-specific 2019 age-sex-broad-phenotype distribution,88696,10.806575268332281,10.76100870176541,10.105269605397647,11.416747798133175,-0.18152898392559402,-0.6419374727187678,0.27887950486757973,0.9834107051636687,0.9427961500268709,1.025774887819536,754674
brasil,2023,Country-specific 2019 age-sex-broad-phenotype distribution,93478,10.440959370119172,10.311735015845855,9.742936526975898,10.880533504715812,-0.6308026698451499,-1.1780049395991907,-0.08360040009110911,0.942353164506802,0.8961398990819781,0.9909496135209437,754674
mexico,2015,Country-specific 2019 age-sex-broad-phenotype distribution,20998,11.167730260024765,11.111852686043107,9.952122924502651,12.271582447583562,0.9890970979155935,-0.27020578545194196,2.2483999812831295,1.0977102617271188,0.97053291685497,1.2415527570211018,187696
mexico,2016,Country-specific 2019 age-sex-broad-phenotype distribution,22021,11.166613686935198,11.213035712013868,9.978721553527446,12.44734987050029,1.0902801238863544,-0.12714196676375644,2.3077022145364654,1.1077058627361398,0.9837763211597689,1.2472472166167785,187696
mexico,2017,Country-specific 2019 age-sex-broad-phenotype distribution,21606,11.089512172544664,11.145687925689542,9.973407550060656,12.317968301318427,1.0229323375620283,-0.2622297947121604,2.308094469836217,1.1010527547224174,0.9713243285735549,1.2481074889395396,187696
mexico,2018,Country-specific 2019 age-sex-broad-phenotype distribution,21466,9.894717227243081,9.946652891342762,8.822809269130385,11.070496513555138,-0.17610269678475093,-1.1557868375021434,0.8035814439326414,0.9826032847230557,0.892126728630259,1.0822556753018133,187696
mexico,2019,Country-specific 2019 age-sex-broad-phenotype distribution,21832,10.122755588127518,10.122755588127513,8.557472692895576,11.68803848335945,0.0,0.0,0.0,1.0,1.0,1.0,187696
mexico,2020,Country-specific 2019 age-sex-broad-phenotype distribution,15912,11.5824534942182,11.793236634971551,10.277500943572852,13.308972326370249,1.670481046844037,0.8709664230016024,2.4699956706864716,1.165022362962439,1.0780795905804386,1.2589767194014185,187696
mexico,2021,Country-specific 2019 age-sex-broad-phenotype distribution,18832,12.282285471537808,12.372699298224669,11.014680196074995,13.730718400374345,2.249943710097156,1.20099246062625,3.298894959568062,1.2222659324834442,1.1034639387357967,1.3538584789831696,187696
mexico,2022,Country-specific 2019 age-sex-broad-phenotype distribution,22667,11.598358847664004,11.710646812265487,10.445160631944859,12.976132992586118,1.5878912241379743,0.5904658150549,2.5853166332210487,1.1568635348659742,1.0478120896445722,1.277264551086228,187696
mexico,2023,Country-specific 2019 age-sex-broad-phenotype distribution,22362,11.152848582416599,11.255369255970832,10.045238961247811,12.465499550693853,1.1326136678433185,0.12955521729016375,2.1356721183964735,1.1118878805264947,1.0063630617318722,1.2284777789182109,187696
chile,2015,Country-specific 2019 age-sex-broad-phenotype distribution,6601,7.1504317527647325,7.758660786640776,7.089327324704017,8.427994248577535,-0.07021983561152217,-1.021522549295109,0.8810828780720648,0.9910306672180013,0.877160066709747,1.1196836479920926,52259
chile,2016,Country-specific 2019 age-sex-broad-phenotype distribution,6372,7.09353421217828,7.5767448138516045,6.908941200309271,8.244548427393939,-0.25213580840069416,-1.202447620291509,0.6981760034901209,0.967794143177501,0.855450634808311,1.0948913536998568,52259
chile,2017,Country-specific 2019 age-sex-broad-phenotype distribution,6112,7.428010471204188,7.747259423005754,7.068521480532255,8.425997365479251,-0.08162119924654543,-1.0401485116785474,0.8769061131854565,0.9895743461696745,0.8749727706583618,1.1191861271983463,52259
chile,2018,Country-specific 2019 age-sex-broad-phenotype distribution,5863,7.55585877537097,7.745846326957009,7.059135017400695,8.432557636513325,-0.0830342952952895,-1.0475184261239774,0.8814498355333983,0.9893938483288047,0.8741275516467467,1.11985966495022,52259
chile,2019,Country-specific 2019 age-sex-broad-phenotype distribution,5914,7.828880622252282,7.828880622252299,7.150872388515089,8.506888855989509,0.0,0.0,0.0,1.0,1.0,1.0,52259
chile,2020,Country-specific 2019 age-sex-broad-phenotype distribution,5008,8.865814696485623,8.933214498939845,8.149872602506777,9.716556395372914,1.1043338766875466,0.06845464015429822,2.140213113220795,1.1410589750913636,1.0087652790063848,1.2907022195678803,52259
chile,2021,Country-specific 2019 age-sex-broad-phenotype distribution,4982,10.236852669610599,10.147638242061054,9.317022865489092,10.978253618633019,2.318757619808756,1.2461543478073192,3.3913608918101934,1.2961799689751394,1.1505175520223394,1.460284120845617,52259
chile,2022,Country-specific 2019 age-sex-broad-phenotype distribution,5465,9.588289112534309,9.23838140028304,8.483731398945773,9.993031401620305,1.409500778030741,0.39439609626897054,2.4246054597925113,1.1800386090987858,1.0475196778498426,1.3293221582453218,52259
chile,2023,Country-specific 2019 age-sex-broad-phenotype distribution,5942,8.078088185796028,7.648403223834757,6.986484077204571,8.310322370464943,-0.18047739841754173,-1.1288475487588248,0.7678927519237414,0.9769472282021309,0.864275843442544,1.1043070264352186,52259
equador,2015,Country-specific 2019 age-sex-broad-phenotype distribution,5587,6.37193484875604,6.544802349535638,5.888700969602782,7.200903729468496,-0.2524326735058452,-1.1953920303539087,0.6905266833422183,0.9628624473554113,0.8359534687004236,1.1090379156731434,46753
equador,2016,Country-specific 2019 age-sex-broad-phenotype distribution,5585,7.179946284691137,7.418734043140246,6.725894604661001,8.11157348161949,0.6214990200987619,-0.34738256170896586,1.5903806019064894,1.091434093126394,0.9521016257437332,1.2511567540997601,46753
equador,2017,Country-specific 2019 age-sex-broad-phenotype distribution,5391,7.790762381747357,7.925099989873511,7.202342106956119,8.647857872790901,1.1278649668320262,0.1369868020092025,2.11874313165485,1.165929964611898,1.018542398824171,1.3346451595429076,46753
equador,2018,Country-specific 2019 age-sex-broad-phenotype distribution,5100,7.392156862745098,7.459469416722738,6.739736086588175,8.179202746857303,0.6622343936812547,-0.3268752595332252,1.6513440468957346,1.0974270260534456,0.9551774247704345,1.2608611199138842,46753
equador,2019,Country-specific 2019 age-sex-broad-phenotype distribution,5208,6.797235023041474,6.797235023041484,6.118714952921063,7.475755093161905,0.0,0.0,0.0,1.0,1.0,1.0,46753
equador,2020,Country-specific 2019 age-sex-broad-phenotype distribution,4161,8.67579908675799,8.696658160092772,7.843991921715912,9.549324398469633,1.8994231370512884,0.8104315350102081,2.9884147390923688,1.2794405564339857,1.1124842907340955,1.4714528115879462,46753
equador,2021,Country-specific 2019 age-sex-broad-phenotype distribution,4325,8.092485549132949,8.184167018718368,7.367632627393261,9.000701410043474,1.3869319956768835,0.32588112870161245,2.4479828626521547,1.204043554618226,1.0456451799311632,1.3864367275265697,46753
equador,2022,Country-specific 2019 age-sex-broad-phenotype distribution,5381,7.693737223564394,7.955484728236511,7.226417980032469,8.684551476440554,1.1582497051950273,0.16309123114566798,2.153408179244387,1.1704001261202173,1.022186000067152,1.340104888085172,46753
equador,2023,Country-specific 2019 age-sex-broad-phenotype distribution,6015,7.43142144638404,7.651055572841411,6.974611963209963,8.32749918247286,0.8538205497999274,-0.10384180232857129,1.811482901928426,1.1256129215637858,0.9851537652603547,1.2860981644388474,46753
