country,specification,low_volume_percentile,low_prior_year_volume,high_volume_percentile,high_prior_year_volume,model_n,hospitals,predicted_low_volume_mortality_pct,predicted_high_volume_mortality_pct,risk_difference_high_vs_low_pp,risk_difference_ci_low_pp,risk_difference_ci_high_pp,risk_ratio_high_vs_low,risk_ratio_ci_low,risk_ratio_ci_high
brasil,Detailed administrative TBI subtype,10,22.0,90,1114.0,665466,2443,7.826199373556535,12.27646563378129,4.450266260224756,3.0059128955272914,5.894619624922219,1.56863696512275,1.3941347485968354,1.7649814200715328
brasil,Broad phenotype harmonization sensitivity,10,22.0,90,1114.0,665466,2443,7.548698435973784,12.534387400387939,4.985688964414154,3.183509350619222,6.787868578209087,1.660470014360959,1.429513683655458,1.9287403122588194
mexico,Detailed administrative TBI subtype,10,10.0,90,465.0,163318,951,6.941870086653069,13.979556113371228,7.037686026718158,2.9101908307031037,11.165181222733214,2.0138026121015016,1.3835845047317246,2.931082956362805
mexico,Broad phenotype harmonization sensitivity,10,10.0,90,465.0,163318,951,6.966469034114403,14.009550748146754,7.0430817140323505,2.767008550309079,11.319154877755624,2.0109973473710685,1.4146668409425767,2.8587015784146947
