country,year,hospital_year_units,admissions,median_volume,top_5pct_share_pct,top_10pct_share_pct,top_20pct_share_pct,hhi_0_10000,gini_volume
brasil,2015,1878,82276,7.0,52.57669308182216,69.22553356993534,84.96159268802566,60.297492722723526,0.8015276745079589
brasil,2016,1855,82953,6.0,53.18071679143611,70.15297819247044,85.019227755476,60.873521664452994,0.8040760521586559
brasil,2017,1912,82253,7.0,53.26978955174887,70.20047900988415,84.9719767060168,56.2638857018736,0.8033920511197541
brasil,2018,1855,81267,7.0,52.20446183567746,68.96526265273727,84.24821883421315,52.035585008568766,0.7976886279186801
brasil,2019,1875,82193,7.0,52.47040502232551,69.62028396578785,84.7480929032886,53.86506640367822,0.800474343719457
brasil,2020,1928,80202,7.0,51.02615894865464,67.99207002319145,84.05027306052219,46.34558120785415,0.7916334129766323
brasil,2021,1994,81356,6.0,53.15649736958552,69.80554599537834,84.95132504056247,51.6286464704492,0.8011061553804439
brasil,2022,2086,88696,7.0,52.20528546946874,69.23311085054569,84.71971678542437,47.72291275016186,0.7980491564105423
brasil,2023,2114,93478,7.0,51.19493356725646,68.68888936434242,84.84563212734547,42.83854580269109,0.7963053975352934
mexico,2015,757,21011,9.0,41.611536814049785,55.91356908286136,73.69473133120746,73.59782063838722,0.7042885694836705
mexico,2016,756,22046,10.0,41.30000907194049,55.824185793341194,72.99736913725846,70.7317546697429,0.6988829753276817
mexico,2017,703,21616,10.0,41.839378238341965,55.81051073279053,72.58512213175425,76.32913614719695,0.6987660212707936
mexico,2018,761,21466,10.0,45.099226684058515,58.133792974937116,73.95416006708282,80.45111200490145,0.7119570440704261
mexico,2019,789,21832,10.0,43.62861854159033,57.2233418834738,72.98460974716014,77.54865899575437,0.6997363435772468
mexico,2020,780,15912,7.0,44.2621920563097,57.510055304172944,73.03293112116641,84.95134817666093,0.6993452772298927
mexico,2021,807,18832,8.0,44.71644010195412,58.198810535259135,73.84239592183516,79.82484440519181,0.7106305647588695
mexico,2022,822,22667,10.0,43.23024661402039,56.87122248202232,72.74010676313584,71.13444109967041,0.6965892085957945
mexico,2023,867,22362,9.0,42.4380645738306,56.03702709954387,72.15812539128879,68.43379878956854,0.6936848193719636
