country,predictor,display_variable,eligible_years,level,admissions,deaths,mortality_pct,los_median,level_english
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Instituto Ecuatoriano de Seguridad Social,7702,473,6.141262009867567,5.0,Ecuadorian Social Security Institute
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Junta Beneficencia de Guayaquil,839,138,16.448152562574496,9.0,Junta Beneficencia de Guayaquil
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Ministerio de Defensa Nacional,643,32,4.976671850699844,3.0,Ministerio de Defensa Nacional
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Ministerio de Salud Pública,19944,1660,8.323305254713196,4.0,Ministry of Public Health
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Other/rare,254,22,8.661417322834646,5.0,Other/rare
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Otros públicos,271,20,7.380073800738007,5.0,Otros públicos
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Privados con fines de lucro,16368,1092,6.671554252199413,3.0,Privados con fines de lucro
equador,facility_entity,facility_entity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Privados sin fines de lucro,732,43,5.874316939890711,3.0,Privados sin fines de lucro
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Blanco/a,218,12,5.504587155963304,2.0,Blanco/a
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Ignorado/a,3819,223,5.839224927991621,6.0,Ignorado/a
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Indígena,1072,81,7.555970149253731,3.0,Indígena
