analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,hospitals,fdr_q_value
Region-adjusted prior-year hospital volume: Brazil,geographic-confounding sensitivity,region_adjusted_volume,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.2563263418470751,1.1869667330784743,1.3297389330577842,3.3976032117511316e-15,663921,True,434360.94238417404,brasil,2078,6.795206423502263e-15
Region-adjusted prior-year hospital volume: Mexico,geographic-confounding sensitivity,region_adjusted_volume,lag_volume_z_country_year,OR per 1-SD increase in prior-year log volume,1.3963964066295995,1.2736896857827003,1.5309246406041224,1.1186096877958615e-12,162904,True,108557.19600702303,mexico,842,1.1186096877958615e-12
