country,year,standard_population,admissions,crude_mortality_pct,age_sex_standardized_mortality_pct,standardized_ci_low_pct,standardized_ci_high_pct,risk_difference_vs_2019_pp,risk_difference_ci_low_pp,risk_difference_ci_high_pp,model_n,age_sex_phenotype_standardized_mortality_pct,age_sex_phenotype_risk_difference_vs_2019_pp,age_sex_minus_age_sex_phenotype_pp
brasil,2015,Country-specific 2019 age-sex distribution,82276,10.809956731002966,11.21765842054948,10.281690896739068,12.153625944359892,0.2751207348584042,-0.3191872064809525,0.8694286761977609,754674,11.368556675879868,0.4260189901888631,-0.1508982553303877
brasil,2016,Country-specific 2019 age-sex distribution,82953,11.387171048666112,11.727232803654458,10.686482876080701,12.767982731228217,0.7846951179633826,0.2139404942329337,1.3554497416938316,754674,11.742992271879706,0.8004545861887008,-0.015759468225247986
brasil,2017,Country-specific 2019 age-sex distribution,82253,11.023306140809455,11.253921015021335,10.254379549951654,12.253462480091017,0.3113833293302601,-0.19776210958795315,0.8205287682484734,754674,11.339763637681733,0.3972259519907262,-0.08584262266039744
brasil,2018,Country-specific 2019 age-sex distribution,81267,11.179199429042539,11.295882902135359,10.378829566240483,12.212936238030236,0.35334521644428407,-0.06463801267292783,0.7713284455614959,754674,11.308000835000342,0.3654631493093377,-0.012117932864983416
brasil,2019,Country-specific 2019 age-sex distribution,82193,10.942537685690995,10.942537685691075,10.08430585342928,11.80076951795287,0.0,0.0,0.0,754674,10.942537685691004,0.0,7.105427357601002e-14
brasil,2020,Country-specific 2019 age-sex distribution,80202,11.416174160245381,11.420496135558146,10.608697911044535,12.232294360071757,0.47795844986707053,0.12669565812493058,0.8292212416092105,754674,11.442198706453752,0.4996610207627469,-0.02170257089560579
brasil,2021,Country-specific 2019 age-sex distribution,81356,11.67461527115394,11.62691667025961,10.901253942537318,12.352579397981899,0.6843789845685331,0.22897292779241585,1.1397850413446502,754674,11.648011219485566,0.7054735337945608,-0.021094549225956882
brasil,2022,Country-specific 2019 age-sex distribution,88696,10.806575268332281,10.634386378795936,9.87972125767753,11.389051499914341,-0.3081513068951394,-0.7651358614908667,0.14883324770058776,754674,10.76100870176541,-0.181528983925594,-0.1266223229694745
brasil,2023,Country-specific 2019 age-sex distribution,93478,10.440959370119172,10.177646479813621,9.515793676202259,10.839499283424981,-0.7648912058774548,-1.2751973924399715,-0.25458501931493815,754674,10.311735015845857,-0.6308026698451499,-0.1340885360322357
mexico,2015,Country-specific 2019 age-sex distribution,20998,11.167730260024765,11.17937574926587,9.994928211884725,12.363823286647012,1.0566201611383454,-0.17949723963069358,2.292737561907385,187696,11.111852686043107,0.9890970979155936,0.06752306322276169
mexico,2016,Country-specific 2019 age-sex distribution,22021,11.166613686935198,11.166841823738784,9.91939886502225,12.414284782455317,1.0440862356112608,-0.18340955174310747,2.271582022965629,187696,11.213035712013868,1.0902801238863544,-0.046193888275084305
mexico,2017,Country-specific 2019 age-sex distribution,21606,11.089512172544664,11.101237513556523,9.918070470122043,12.284404556991003,0.9784819254289991,-0.29156314964755586,2.248527000505554,187696,11.145687925689542,1.0229323375620285,-0.0444504121330187
mexico,2018,Country-specific 2019 age-sex distribution,21466,9.894717227243081,9.920308003627076,8.811119962383554,11.029496044870598,-0.2024475845004467,-1.18748994489936,0.7825947758984666,187696,9.946652891342762,-0.1761026967847509,-0.026344887715685772
mexico,2019,Country-specific 2019 age-sex distribution,21832,10.122755588127518,10.122755588127523,8.574091020367995,11.671420155887052,0.0,0.0,0.0,187696,10.122755588127513,0.0,1.0658141036401503e-14
mexico,2020,Country-specific 2019 age-sex distribution,15912,11.5824534942182,11.84516725392274,10.334653183777396,13.355681324068083,1.7224116657952178,0.9052995520105545,2.539523779579881,187696,11.793236634971551,1.670481046844037,0.051930618951189444
mexico,2021,Country-specific 2019 age-sex distribution,18832,12.282285471537808,12.520196846384032,11.212053203965281,13.828340488802784,2.3974412582565092,1.3942816362393373,3.4006008802736813,187696,12.372699298224669,2.249943710097156,0.14749754815936278
mexico,2022,Country-specific 2019 age-sex distribution,22667,11.598358847664004,11.741180369453655,10.492084722409297,12.990276016498012,1.6184247813261319,0.6358307913064702,2.6010187713457937,187696,11.710646812265487,1.5878912241379743,0.030533557188167748
mexico,2023,Country-specific 2019 age-sex distribution,22362,11.152848582416599,11.210896618654944,9.993639243089664,12.428153994220226,1.0881410305274217,0.09873693775499758,2.0775451232998456,187696,11.255369255970832,1.1326136678433183,-0.04447263731588791
chile,2015,Country-specific 2019 age-sex distribution,6601,7.1504317527647325,7.568965805633904,6.917387063771107,8.2205445474967,-0.2599148166183035,-1.2003695784148278,0.6805399451782209,52259,7.758660786640776,-0.0702198356115221,-0.18969498100687243
chile,2016,Country-specific 2019 age-sex distribution,6372,7.09353421217828,7.383657094605462,6.733392197567121,8.033921991643801,-0.4452235276467459,-1.3849115239667968,0.49446446867330507,52259,7.576744813851604,-0.2521358084006941,-0.193087719246142
chile,2017,Country-specific 2019 age-sex distribution,6112,7.428010471204188,7.625642626407359,6.9572366755109,8.294048577303817,-0.2032379958448488,-1.1556678426875502,0.7491918509978527,52259,7.747259423005754,-0.0816211992465454,-0.12161679659839475
chile,2018,Country-specific 2019 age-sex distribution,5863,7.55585877537097,7.650252060895434,6.971255244662659,8.329248877128208,-0.17862856135677369,-1.1386929372922603,0.7814358145787129,52259,7.745846326957009,-0.0830342952952895,-0.09559426606157562
chile,2019,Country-specific 2019 age-sex distribution,5914,7.828880622252282,7.828880622252207,7.149990212466424,8.50777103203799,0.0,0.0,0.0,52259,7.828880622252299,0.0,-9.237055564881302e-14
chile,2020,Country-specific 2019 age-sex distribution,5008,8.865814696485623,8.948838808237621,8.163522459487844,9.7341551569874,1.1199581859854146,0.08208829045024853,2.157828081520581,52259,8.933214498939845,1.1043338766875466,0.015624309297775696
chile,2021,Country-specific 2019 age-sex distribution,4982,10.236852669610599,10.236871755714713,9.399299263417287,11.07444424801214,2.407991133462506,1.3298140057853465,3.486168261139665,52259,10.147638242061054,2.318757619808756,0.08923351365365839
chile,2022,Country-specific 2019 age-sex distribution,5465,9.588289112534309,9.347430408155843,8.587388490499633,10.107472325812052,1.5185497859036348,0.49922659635708766,2.5378729754501816,52259,9.23838140028304,1.409500778030741,0.10904900787280347
chile,2023,Country-specific 2019 age-sex distribution,5942,8.078088185796028,7.775324659961977,7.104598301207686,8.446051018716268,-0.05355596229023041,-1.0082293880488595,0.9011174634683986,52259,7.648403223834757,-0.1804773984175417,0.12692143612721996
equador,2015,Country-specific 2019 age-sex distribution,5587,6.37193484875604,6.477583189363447,5.830576497636306,7.124589881090587,-0.3196518336779766,-1.2586045952765246,0.6193009279205713,46753,6.544802349535638,-0.2524326735058452,-0.06721916017219165
equador,2016,Country-specific 2019 age-sex distribution,5585,7.179946284691137,7.31483532918662,6.630897233057389,7.99877342531585,0.5176003061451967,-0.44712980008698355,1.482330412377377,46753,7.418734043140246,0.6214990200987619,-0.10389871395362604
equador,2017,Country-specific 2019 age-sex distribution,5391,7.790762381747357,7.847641941850317,7.131327033663876,8.563956850036758,1.0504069188088938,0.06243096232283595,2.0383828752949515,46753,7.925099989873511,1.1278649668320262,-0.07745804802319345
equador,2018,Country-specific 2019 age-sex distribution,5100,7.392156862745098,7.411807875555268,6.6945060136855385,8.129109737424997,0.614572852513845,-0.37422919818481776,1.6033749032125078,46753,7.459469416722738,0.6622343936812547,-0.04766154116747057
equador,2019,Country-specific 2019 age-sex distribution,5208,6.797235023041474,6.797235023041423,6.116872056270705,7.47759798981214,0.0,0.0,0.0,46753,6.797235023041484,0.0,-6.128431095930864e-14
equador,2020,Country-specific 2019 age-sex distribution,4161,8.67579908675799,8.80065830414064,7.935980540973294,9.665336067307987,2.0034232810992174,0.9032812368150706,3.1035653253833644,46753,8.696658160092772,1.8994231370512884,0.10400014404786795
equador,2021,Country-specific 2019 age-sex distribution,4325,8.092485549132949,8.263247251037402,7.437253939246141,9.089240562828662,1.4660122279959789,0.39602241256822873,2.536002043423729,46753,8.184167018718368,1.3869319956768835,0.0790802323190345
equador,2022,Country-specific 2019 age-sex distribution,5381,7.693737223564394,8.015923308551914,7.278952128486139,8.75289448861769,1.2186882855104915,0.21587945883969686,2.221497112181286,46753,7.955484728236511,1.1582497051950271,0.06043858031540239
equador,2023,Country-specific 2019 age-sex distribution,6015,7.43142144638404,7.770908826298925,7.082823665299122,8.458993987298728,0.9736738032575021,0.006312672761683846,1.9410349337533204,46753,7.651055572841411,0.8538205497999274,0.11985325345751363
