country,hospitals,one_year_only,four_or_more_years,continuity_eligible,hospitals_with_gaps,median_observed_years,one_year_only_pct,four_or_more_years_pct,continuity_eligible_pct,hospitals_with_gaps_pct
brasil,3209,529,2066,1823,1094,6.0,16.484886257401058,64.38142723589904,56.80897475849174,34.09161732626987
mexico,1178,157,843,764,359,7.0,13.3276740237691,71.56196943972836,64.85568760611206,30.475382003395584
