country,year,reference_year,jensen_shannon_divergence_vs_2019,other_or_unspecified_share_pct,coding_drift_flag
brasil,2015,2019,0.0008336786866239899,55.439010160921775,False
brasil,2016,2019,0.0006043140741246178,54.12341928561957,False
brasil,2017,2019,0.00039949070265991545,55.053311125430085,False
brasil,2018,2019,0.00011289719496887431,53.452200770300365,False
brasil,2019,2019,0.0,53.35612521747595,False
brasil,2020,2019,0.00011318327163720778,53.49367846188374,False
brasil,2021,2019,0.0001437580672460874,52.52101873248439,False
brasil,2022,2019,0.0006322234360427209,53.73297555695859,False
brasil,2023,2019,0.0008422284087263141,53.79233616465906,False
chile,2015,2019,0.010563101971027047,66.02029995455234,False
chile,2016,2019,0.0092444569318711,65.47394852479599,False
chile,2017,2019,0.0037553413813480128,60.798429319371714,False
chile,2018,2019,0.0017218725934219801,57.922565239638416,False
chile,2019,2019,0.0,52.60399053094352,False
chile,2020,2019,7.529797613336597e-05,51.4576677316294,False
chile,2021,2019,0.0019518785088177186,46.668004817342435,False
chile,2022,2019,0.0037113997553559226,45.17840805123513,False
chile,2023,2019,0.0045219801159137075,44.26119151800741,False
equador,2015,2019,0.021389214033624277,70.12708072310723,False
equador,2016,2019,0.018132234509961986,68.52282900626679,False
equador,2017,2019,0.008854650361384667,63.55036171396773,False
equador,2018,2019,0.0026108502410643053,57.68627450980392,False
equador,2019,2019,0.0,50.595238095238095,False
equador,2020,2019,0.0008793904095605659,52.82384042297525,False
equador,2021,2019,0.0005460290405010489,52.11560693641618,False
equador,2022,2019,0.0019253882455335612,55.956141981044404,False
equador,2023,2019,0.001778724678347895,54.679966749792186,False
mexico,2015,2019,0.0009323423170783131,70.90571605349578,False
mexico,2016,2019,0.0008096622203709709,71.12401342647192,False
mexico,2017,2019,0.0008398186940539853,71.35455218356773,False
mexico,2018,2019,0.00024445275210643164,69.71955650796609,False
mexico,2019,2019,0.0,67.91407108831073,False
mexico,2020,2019,0.00015681423174591924,67.81045751633987,False
mexico,2021,2019,0.0004003714413306405,67.12510620220901,False
mexico,2022,2019,0.00039846971045459905,67.10195438302378,False
mexico,2023,2019,0.0006918096357940418,69.47500223593596,False
