country,minimum_expected_deaths,eligible_hospitals,quasi_poisson_dispersion,median_smr,smr_p95,smr_p995
brasil,5.0,1026,14.809731234813325,0.649397827282987,1.7369213896151359,2.4047286321022407
mexico,5.0,533,11.310054668704039,0.6612977020622764,1.8450369350342373,2.3767047579720413
